Kobold Farming For Fun And Profit ,"A dark blue book with silver lettering, and an illustration of a kobold on the front cover ","An ethically dubious guide to raising kobolds like they were sheep, and how to keep them in enclosures despite their grabby little hands "
Dragonborn Wedding Customs ,A deep red book with swirling gold lettering ,"A guide to wedding manners that appears to be written for one specific family, not dragonborn as a whole. "
Self-Made King! ,"A cheap-looking book that is worn ragged on the edges, with a man's smiling face on the cover. ","A 'how to be successful' guidebook on how to become a king by pulling yourself up by your boostraps, written by a firstborn prince. "
Crystal Shatters,A black book with a silver snowflake illustrated on the front ,a book of poetry about snow and ice 
Transmutation For Dummies: 101 Spells That Even An Idiot Could Cast ,"A book that was probably once yellow, but is now thoroughly brown from blood stains. ",A spellbook rendered entirely unreadable by copious blood stains. 
The Collective Part 2,A massive tome with a thick brass buckle holding it closed. ,It is filled with every paper scrap and scribble of art that a child named Kotania ever produced between the ages of 8-13
Ultimate Guide To Tying Easily-Removable Knots ,"the cover has an embossed picture of a young man in a sailor's uniform, holding a rope over his head triumphantly",A guidebook for tying knots that come apart easily 
Knitting With Cat Hair ,"The cover itself seems felted from some kind of hair, with an embroidered title sewed to the spine. ","A guide on turning cat hair into yarn and felt, and then crafting with it. "
Eating People Is Wrong ,A grey book with a silver fork-and-knife on the front cover,A series of essays on why high-intelligence monsters should be considered people
Reusing Old Graves ,A dark grey book illustrated on the over with a tomato plant growing from a skull ,An ecological report detailing the methods and resources needed to turn old wargrounds into farmland 
Fancy Coffins To Make Yourself ,A thin book bound in canvas. It smells like fresh pine. ,Blueprints for a woodcarver to use to make coffins. The illustrations look lovely
Loosening Skin,"An ancient, tiny book that nearly falls apart when you try to pick it up. It smells like old people. ",Someone's published pros-and-cons list for deciding between joining a retirement community or becoming a lich.  Surprisingly long! 
The Man Who Mistook His Wife For A Cloak (And Other Strange Tales),"The book is bright red, with a black illustration of mothman on the cover",A collection of tales of fiction (or are they?)
The Particular Sadness Of Apple Turnovers,"A dark green leather-bound book that looks a bit worn around the edges, like it had been re-read many times. ","An autobiographical novel lamenting the author's childhood growing up near an apple orchard, and their strange semi-incestuous teenage romance. "
